Id2,Estimate; Total:,Estimate; Women who had a birth in the past 12 months:,"Estimate; Women who had a birth in the past 12 months: - Unmarried (never married, widowed, and divorced):","Estimate; Women who had a birth in the past 12 months: - Unmarried (never married, widowed, and divorced): - 15 to 19 years old",Estimate; Women who did not have a birth in the past 12 months:
77011,4123,162,112,0,3961
77012,5067,419,214,22,4648
77013,5083,408,207,4,4675
77014,9591,636,213,49,8955
77015,14661,1158,453,60,13503
77016,6413,253,116,20,6160
77017,8570,555,165,4,8015
77018,6500,436,68,37,6064
77019,6171,194,41,8,5977
77020,5915,459,213,55,5456
77021,7041,449,213,43,6592
77022,6990,446,295,45,6544
77023,7196,416,182,29,6780
77024,7928,286,23,0,7642
77025,7511,451,63,8,7060
77026,5618,415,222,38,5203
77027,5289,199,43,0,5090
77028,3078,187,107,20,2891
77029,4010,234,82,18,3776
77030,3167,104,0,0,3063
77031,4799,415,185,81,4384
77032,3612,284,150,21,3328
77033,6359,424,289,65,5935
77034,10835,728,338,50,10107
77035,9963,509,228,7,9454
77036,18514,1415,552,50,17099
77037,5555,398,277,55,5157
77038,7637,431,285,37,7206
77039,7737,647,355,78,7090
77040,12579,703,232,29,11876
77041,9284,306,149,0,8978
77042,11664,559,89,0,11105
77043,5984,337,84,67,5647
77044,10078,716,238,85,9362
77045,9161,340,132,53,8821
77046,263,21,0,0,242
77047,7314,419,121,40,6895
77048,4215,269,154,13,3946
77049,8814,309,135,53,8505
77050,1198,36,36,9,1162
77051,3531,415,236,18,3116
77053,8044,662,314,92,7382
77054,7847,249,59,0,7598
77055,10390,770,226,30,9620
77056,4665,243,15,0,4422
77057,10576,880,414,80,9696
77058,4290,114,37,16,4176
77059,3898,205,28,0,3693
77060,12425,1514,1074,234,10911
77061,6526,340,135,101,6186
77062,6401,345,110,0,6056
77063,9847,851,202,0,8996
77064,12218,338,84,23,11880
77065,10578,556,244,6,10022
77066,8633,507,123,7,8126
77067,9709,593,328,40,9116
77068,2570,85,0,0,2485
77069,3580,212,24,0,3368
77070,13358,861,331,9,12497
77071,7813,532,203,0,7281
77072,15506,880,403,0,14626
77073,11496,1107,382,66,10389
77074,9074,703,213,0,8371
77075,12098,721,407,9,11377
77076,9123,803,448,49,8320
77077,15678,723,99,0,14955
77078,4426,385,193,40,4041
77079,7382,221,21,14,7161
77080,11479,793,391,85,10686
77081,12002,876,358,81,11126
77082,16654,675,155,0,15979
77083,20303,1184,301,62,19119
77084,28333,1621,605,124,26712
77085,4523,155,96,0,4368
77086,7559,521,266,37,7038
77087,9290,628,192,48,8662
77088,13593,1058,566,40,12535
77089,13942,571,131,0,13371
77090,11276,887,472,67,10389
77091,5987,514,277,33,5473
77092,9309,700,279,82,8609
77093,10414,763,372,46,9651
77094,2151,172,8,0,1979
77095,19773,1182,391,37,18591
77096,8237,525,89,0,7712
77098,3999,71,2,0,3928
77099,12415,632,296,49,11783
77201,0,0,0,0,0
77301,8022,346,117,0,7676
77302,4274,470,165,0,3804
77303,5222,193,37,7,5029
77304,6171,291,167,0,5880
77306,3006,181,83,0,2825
77316,4179,420,174,0,3759
77318,2657,24,0,0,2633
77320,6206,286,148,103,5920
77326,0,0,0,0,0
77327,5188,310,207,5,4878
77328,3739,158,39,0,3581
77331,1055,114,109,109,941
77334,0,0,0,0,0
77335,484,0,0,0,484
77336,3172,123,0,0,3049
77338,10080,958,297,50,9122
77339,9557,568,210,39,8989
77340,8740,283,122,45,8457
77342,0,0,0,0,0
77345,6801,222,12,0,6579
77346,16246,940,396,28,15306
77350,24,5,5,5,19
77351,5632,479,369,57,5153
77354,8113,476,0,0,7637
77355,6633,234,88,32,6399
77356,4823,160,90,0,4663
77357,5167,369,201,26,4798
77358,1093,50,7,0,1043
77359,104,0,0,0,104
77360,940,22,14,0,918
77362,1262,104,85,0,1158
77363,539,8,0,0,531
77364,226,21,0,0,205
77365,7130,446,0,0,6684
77367,42,0,0,0,42
77368,0,0,0,0,0
77369,130,0,0,0,130
77371,1862,100,10,0,1762
77372,3009,211,124,34,2798
77373,15052,878,245,52,14174
77374,83,0,0,0,83
77375,10298,749,181,78,9549
77376,149,38,38,38,111
77377,7954,634,156,72,7320
77378,3330,117,16,0,3213
77379,18002,878,84,0,17124
77380,7150,510,59,59,6640
77381,8224,398,16,0,7826
77382,9040,290,1,0,8750
77384,3144,235,83,0,2909
77385,6155,260,98,0,5895
